config_name,instance_name,best_cost,optimal_value,name,num_ants,num_iterations,alpha,beta,evaporation_rate,Q,gap_percent
RunnerUp_A1_B5_R0.3_N50,A-n45-k6,1078.9620220099466,944.0,RunnerUp_A1_B5_R0.3_N50,50,100,1.0,5.0,0.3,100,14.296824365460449
Winner_A4_B3_R0.1_N50,A-n55-k9,1262.8227969445375,1073.0,Winner_A4_B3_R0.1_N50,50,100,4.0,3.0,0.1,100,17.69084780470992
ThirdPlace_A4_B3_R0.2_N100,A-n65-k9,1393.585104906188,1177.0,ThirdPlace_A4_B3_R0.2_N100,100,100,4.0,3.0,0.2,100,18.401453263057604
ThirdPlace_A4_B3_R0.2_N100,A-n32-k5,940.6031343895656,784.0,ThirdPlace_A4_B3_R0.2_N100,100,100,4.0,3.0,0.2,100,19.97488959050582
ThirdPlace_A4_B3_R0.2_N100,A-n80-k10,2117.099801614907,1764.0,ThirdPlace_A4_B3_R0.2_N100,100,100,4.0,3.0,0.2,100,20.016995556400623
RunnerUp_A1_B5_R0.3_N50,A-n32-k5,944.673369156654,784.0,RunnerUp_A1_B5_R0.3_N50,50,100,1.0,5.0,0.3,100,20.494052188348718
ThirdPlace_A4_B3_R0.2_N100,A-n45-k6,1137.824710068195,944.0,ThirdPlace_A4_B3_R0.2_N100,100,100,4.0,3.0,0.2,100,20.53227860891895
ThirdPlace_A4_B3_R0.2_N100,A-n55-k9,1298.965950210405,1073.0,ThirdPlace_A4_B3_R0.2_N100,100,100,4.0,3.0,0.2,100,21.059268425946414
RunnerUp_A1_B5_R0.3_N50,A-n55-k9,1300.9249315645925,1073.0,RunnerUp_A1_B5_R0.3_N50,50,100,1.0,5.0,0.3,100,21.241838915619056
Winner_A4_B3_R0.1_N50,A-n45-k6,1149.0821713883536,944.0,Winner_A4_B3_R0.1_N50,50,100,4.0,3.0,0.1,100,21.72480629113915
RunnerUp_A1_B5_R0.3_N50,A-n65-k9,1438.4102880387952,1177.0,RunnerUp_A1_B5_R0.3_N50,50,100,1.0,5.0,0.3,100,22.209880037280815
RunnerUp_A1_B5_R0.3_N50,A-n80-k10,2162.8956063152186,1764.0,RunnerUp_A1_B5_R0.3_N50,50,100,1.0,5.0,0.3,100,22.613129609706274
Winner_A4_B3_R0.1_N50,A-n65-k9,1462.851913960676,1177.0,Winner_A4_B3_R0.1_N50,50,100,4.0,3.0,0.1,100,24.286483768961432
Winner_A4_B3_R0.1_N50,A-n80-k10,2193.7157917262434,1764.0,Winner_A4_B3_R0.1_N50,50,100,4.0,3.0,0.1,100,24.36030565341516
Winner_A4_B3_R0.1_N50,A-n32-k5,1029.9660329719845,784.0,Winner_A4_B3_R0.1_N50,50,100,4.0,3.0,0.1,100,31.373218491324558
